No.,Product,Regsion,OS,Type,Tier,Category,Instance.Series,Series.Type,CPU.Type,CPU.Core,RAM (GB),Storage (GB),Cost (US)
237,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv4-series,E8s v4,2,8,64,0,0.928
238,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv4-series,E16s v4,2,16,128,0,1.856
239,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv4-series,E20s v4,2,20,160,0,2.32
240,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv4-series,E32s v4,2,32,256,0,3.712
241,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv4-series,E48s v4,2,48,384,0,5.568
242,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv4-series,E64 v4,2,64,504,0,7.424
243,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv4-series,E80is v4,2,80,504,2400,9.279
244,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,G-series,G1,1,2,28,384,0.67
245,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,G-series,G2,1,4,56,768,1.34
246,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,G-series,G3,1,8,112,1536,2.68
